SchoolYear,Sector,SubSector,ULCSCode,SchoolName,LearningNetwork,GradeLevel,StudentEnrollment,ELCount,ELPCT,NotELCount,NotELPCT,IEPCount,IEPPCT,NotIEPCount,NotIEPPCT,FemaleCount,FemalePCT,MaleCount,MalePCT,AmericanIndianCount,AmericanIndianPCT,AsianCount,AsianPCT,BlackAfricanAmericanCount,BlackAfricanAmericanPCT,HispanicCount,HispanicPCT,MultiRaceCount,MultiRacePCT,PacificIslanderCount,PacificIslanderPCT,WhiteCount,WhitePCT,CEPEconomicallyDisadvantagedRate
2020-2021,Charter,Phila Charters,3386,Northwood Academy Charter School,Charters,05,88,,,,,21,23.86,67,76.14,42,47.73,46,52.27,0,0.00,2,2.27,43,48.86,22,25.00,18,20.45,0,0.00,3,3.41,
2020-2021,Charter,Phila Charters,3386,Northwood Academy Charter School,Charters,06,87,,,,,19,21.84,68,78.16,44,50.57,43,49.43,0,0.00,3,3.45,48,55.17,19,21.84,15,17.24,0,0.00,2,2.30,
2020-2021,Charter,Phila Charters,3386,Northwood Academy Charter School,Charters,07,84,,,,,16,19.05,68,80.95,43,51.19,41,48.81,0,0.00,3,3.57,46,54.76,20,23.81,11,13.10,0,0.00,4,4.76,
2020-2021,Charter,Phila Charters,3386,Northwood Academy Charter School,Charters,08,82,,,,,13,15.85,69,84.15,48,58.54,34,41.46,0,0.00,5,6.10,52,63.41,18,21.95,3,3.66,0,0.00,4,4.88,
2020-2021,Charter,Phila Charters,3386,Northwood Academy Charter School,Charters,All Grades,790,,,,,130,16.46,660,83.54,389,49.24,401,50.76,0,0.00,27,3.42,484,61.27,169,21.39,76,9.62,1,0.13,33,4.18,
2020-2021,Charter,Phila Charters,3388,Boys Latin of Philadelphia Charter School,Charters,06,116,,,,,25,21.55,91,78.45,0,0.00,116,100.00,1,0.86,0,0.00,104,89.66,4,3.45,7,6.03,0,0.00,0,0.00,
2020-2021,Charter,Phila Charters,3388,Boys Latin of Philadelphia Charter School,Charters,07,123,,,,,28,22.76,95,77.24,0,0.00,123,100.00,0,0.00,0,0.00,115,93.50,0,0.00,8,6.50,0,0.00,0,0.00,
2020-2021,Charter,Phila Charters,3388,Boys Latin of Philadelphia Charter School,Charters,08,118,,,,,23,19.49,95,80.51,0,0.00,118,100.00,0,0.00,0,0.00,108,91.53,4,3.39,6,5.08,0,0.00,0,0.00,
2020-2021,Charter,Phila Charters,3388,Boys Latin of Philadelphia Charter School,Charters,09,151,,,,,38,25.17,113,74.83,0,0.00,151,100.00,0,0.00,0,0.00,136,90.07,4,2.65,9,5.96,0,0.00,2,1.32,
2020-2021,Charter,Phila Charters,3388,Boys Latin of Philadelphia Charter School,Charters,10,145,,,,,42,28.97,103,71.03,2,1.38,143,98.62,0,0.00,0,0.00,139,95.86,1,0.69,4,2.76,0,0.00,1,0.69,
2020-2021,Charter,Phila Charters,3388,Boys Latin of Philadelphia Charter School,Charters,11,100,,,,,24,24.00,76,76.00,0,0.00,100,100.00,1,1.00,1,1.00,92,92.00,0,0.00,5,5.00,0,0.00,1,1.00,
2020-2021,Charter,Phila Charters,3388,Boys Latin of Philadelphia Charter School,Charters,12,98,,,,,23,23.47,75,76.53,1,1.02,97,98.98,0,0.00,0,0.00,93,94.90,2,2.04,3,3.06,0,0.00,0,0.00,
2020-2021,Charter,Phila Charters,3388,Boys Latin of Philadelphia Charter School,Charters,All Grades,851,,,,,203,23.85,648,76.15,3,0.35,848,99.65,2,0.24,1,0.12,787,92.48,15,1.76,42,4.94,0,0.00,4,0.47,
2020-2021,Charter,Phila Charters,3389,Keystone Academy Charter School,Charters,00,73,,,,,1,1.37,72,98.63,36,49.32,37,50.68,0,0.00,4,5.48,26,35.62,21,28.77,4,5.48,0,0.00,18,24.66,
2020-2021,Charter,Phila Charters,3389,Keystone Academy Charter School,Charters,01,80,,,,,8,10.00,72,90.00,41,51.25,39,48.75,0,0.00,5,6.25,29,36.25,27,33.75,0,0.00,0,0.00,19,23.75,
2020-2021,Charter,Phila Charters,3389,Keystone Academy Charter School,Charters,02,85,,,,,22,25.88,63,74.12,45,52.94,40,47.06,0,0.00,7,8.24,21,24.71,25,29.41,7,8.24,0,0.00,25,29.41,
2020-2021,Charter,Phila Charters,3389,Keystone Academy Charter School,Charters,03,76,,,,,17,22.37,59,77.63,40,52.63,36,47.37,0,0.00,4,5.26,21,27.63,23,30.26,15,19.74,0,0.00,13,17.11,
2020-2021,Charter,Phila Charters,3389,Keystone Academy Charter School,Charters,04,75,,,,,22,29.33,53,70.67,30,40.00,45,60.00,0,0.00,3,4.00,35,46.67,19,25.33,3,4.00,0,0.00,15,20.00,
2020-2021,Charter,Phila Charters,3389,Keystone Academy Charter School,Charters,05,68,,,,,11,16.18,57,83.82,34,50.00,34,50.00,0,0.00,7,10.29,21,30.88,20,29.41,5,7.35,0,0.00,15,22.06,
2020-2021,Charter,Phila Charters,3389,Keystone Academy Charter School,Charters,06,68,,,,,12,17.65,56,82.35,34,50.00,34,50.00,0,0.00,3,4.41,20,29.41,21,30.88,10,14.71,0,0.00,14,20.59,
