ulcs_code,src_school_id,pa_school_id,report,school_name,street_address,city,state,zip_code,phone_number,fax_number,website,gradespan,comprehensive_cte,admissions_category,turnaround_model,peer_group_number,overall_score,overall_tier,overall_city_rank,overall_city_gap,overall_peer_rank,overall_peer_gap,ach_score,ach_tier,ach_city_rank,ach_city_gap,ach_peer_rank,ach_peer_gap,ach_pts_earned,ach_pts_poss,prog_score,prog_tier,prog_city_rank,prog_city_gap,prog_peer_rank,prog_peer_gap,prog_pts_earned,prog_pts_poss,clim_score,clim_tier,clim_city_rank,clim_city_gap,clim_peer_rank,clim_peer_gap,clim_pts_earned,clim_pts_poss,cc_score,cc_tier,cc_city_rank,cc_city_gap,cc_peer_rank,cc_peer_gap,cc_pts_earned,cc_pts_poss,dra_score,dra_floor,dra_target,dra_pct_earned,dra_tier,dra_pts_earned,dra_pts_poss,pssa_pa_rdg_gr3_score,pssa_pa_rdg_gr3_floor,pssa_pa_rdg_gr3_target,pssa_pa_rdg_gr3_pct_earned,pssa_pa_rdg_gr3_tier,pssa_pa_rdg_gr3_pts_earned,pssa_pa_rdg_gr3_pts_poss,pssa_a_rdg_gr3_score,pssa_a_rdg_gr3_floor,pssa_a_rdg_gr3_target,pssa_a_rdg_gr3_pct_earned,pssa_a_rdg_gr3_tier,pssa_a_rdg_gr3_pts_earned,pssa_a_rdg_gr3_pts_poss,pssa_pa_math_score,pssa_pa_math_floor,pssa_pa_math_target,pssa_pa_math_pct_earned,pssa_pa_math_tier,pssa_pa_math_pts_earned,pssa_pa_math_pts_poss,pssa_a_math_score,pssa_a_math_floor,pssa_a_math_target,pssa_a_math_pct_earned,pssa_a_math_tier,pssa_a_math_pts_earned,pssa_a_math_pts_poss,pssa_pa_rdg_gr48_score,pssa_pa_rdg_gr48_floor,pssa_pa_rdg_gr48_target,pssa_pa_rdg_gr48_pct_earned,pssa_pa_rdg_gr48_tier,pssa_pa_rdg_gr48_pts_earned,pssa_pa_rdg_gr48_pts_poss,pssa_a_rdg_gr48_score,pssa_a_rdg_gr48_floor,pssa_a_rdg_gr48_target,pssa_a_rdg_gr48_pct_earned,pssa_a_rdg_gr48_tier,pssa_a_rdg_gr48_pts_earned,pssa_a_rdg_gr48_pts_poss,pssa_pa_sci_score,pssa_pa_sci_floor,pssa_pa_sci_target,pssa_pa_sci_pct_earned,pssa_pa_sci_tier,pssa_pa_sci_pts_earned,pssa_pa_sci_pts_poss,pssa_a_sci_score,pssa_a_sci_floor,pssa_a_sci_target,pssa_a_sci_pct_earned,pssa_a_sci_tier,pssa_a_sci_pts_earned,pssa_a_sci_pts_poss,pssa_pa_writ_score,pssa_pa_writ_floor,pssa_pa_writ_target,pssa_pa_writ_pct_earned,pssa_pa_writ_tier,pssa_pa_writ_pts_earned,pssa_pa_writ_pts_poss,pssa_a_writ_score,pssa_a_writ_floor,pssa_a_writ_target,pssa_a_writ_pct_earned,pssa_a_writ_tier,pssa_a_writ_pts_earned,pssa_a_writ_pts_poss,keystone_alg1_pa_ft_score,keystone_alg1_pa_ft_floor,keystone_alg1_pa_ft_target,keystone_alg1_pa_ft_pct_earned,keystone_alg1_pa_ft_tier,keystone_alg1_pa_ft_pts_earned,keystone_alg1_pa_ft_pts_poss,keystone_alg1_pa_rt_score,keystone_alg1_pa_rt_floor,keystone_alg1_pa_rt_target,keystone_alg1_pa_rt_pct_earned,keystone_alg1_pa_rt_tier,keystone_alg1_pa_rt_pts_earned,keystone_alg1_pa_rt_pts_poss,keystone_alg1_a_score,keystone_alg1_a_floor,keystone_alg1_a_target,keystone_alg1_a_pct_earned,keystone_alg1_a_tier,keystone_alg1_a_pts_earned,keystone_alg1_a_pts_poss,keystone_bio_pa_ft_score,keystone_bio_pa_ft_floor,keystone_bio_pa_ft_target,keystone_bio_pa_ft_pct_earned,keystone_bio_pa_ft_tier,keystone_bio_pa_ft_pts_earned,keystone_bio_pa_ft_pts_poss,keystone_bio_pa_rt_score,keystone_bio_pa_rt_floor,keystone_bio_pa_rt_target,keystone_bio_pa_rt_pct_earned,keystone_bio_pa_rt_tier,keystone_bio_pa_rt_pts_earned,keystone_bio_pa_rt_pts_poss,keystone_bio_a_score,keystone_bio_a_floor,keystone_bio_a_target,keystone_bio_a_pct_earned,keystone_bio_a_tier,keystone_bio_a_pts_earned,keystone_bio_a_pts_poss,keystone_lit_pa_ft_score,keystone_lit_pa_ft_floor,keystone_lit_pa_ft_target,keystone_lit_pa_ft_pct_earned,keystone_lit_pa_ft_tier,keystone_lit_pa_ft_pts_earned,keystone_lit_pa_ft_pts_poss,keystone_lit_pa_rt_score,keystone_lit_pa_rt_floor,keystone_lit_pa_rt_target,keystone_lit_pa_rt_pct_earned,keystone_lit_pa_rt_tier,keystone_lit_pa_rt_pts_earned,keystone_lit_pa_rt_pts_poss,keystone_lit_a_score,keystone_lit_a_floor,keystone_lit_a_target,keystone_lit_a_pct_earned,keystone_lit_a_tier,keystone_lit_a_pts_earned,keystone_lit_a_pts_poss,access_prof_score,access_prof_floor,access_prof_target,access_prof_pct_earned,access_prof_tier,access_prof_pts_earned,access_prof_pts_poss,pssa_agi_math_score,pssa_agi_math_floor,pssa_agi_math_target,pssa_agi_math_pct_earned,pssa_agi_math_tier,pssa_agi_math_pts_earned,pssa_agi_math_pts_poss,pssa_agi_rdg_score,pssa_agi_rdg_floor,pssa_agi_rdg_target,pssa_agi_rdg_pct_earned,pssa_agi_rdg_tier,pssa_agi_rdg_pts_earned,pssa_agi_rdg_pts_poss,pssa_agi_sci_gr4_score,pssa_agi_sci_gr4_floor,pssa_agi_sci_gr4_target,pssa_agi_sci_gr4_pct_earned,pssa_agi_sci_gr4_tier,pssa_agi_sci_gr4_pts_earned,pssa_agi_sci_gr4_pts_poss,pssa_agi_sci_gr8_score,pssa_agi_sci_gr8_floor,pssa_agi_sci_gr8_target,pssa_agi_sci_gr8_pct_earned,pssa_agi_sci_gr8_tier,pssa_agi_sci_gr8_pts_earned,pssa_agi_sci_gr8_pts_poss,pssa_agi_writ_gr5_score,pssa_agi_writ_gr5_floor,pssa_agi_writ_gr5_target,pssa_agi_writ_gr5_pct_earned,pssa_agi_writ_gr5_tier,pssa_agi_writ_gr5_pts_earned,pssa_agi_writ_gr5_pts_poss,pssa_agi_writ_gr8_score,pssa_agi_writ_gr8_floor,pssa_agi_writ_gr8_target,pssa_agi_writ_gr8_pct_earned,pssa_agi_writ_gr8_tier,pssa_agi_writ_gr8_pts_earned,pssa_agi_writ_gr8_pts_poss,keystone_alg1_agi_score,keystone_alg1_agi_floor,keystone_alg1_agi_target,keystone_alg1_agi_pct_earned,keystone_alg1_agi_tier,keystone_alg1_agi_pts_earned,keystone_alg1_agi_pts_poss,keystone_bio_agi_score,keystone_bio_agi_floor,keystone_bio_agi_target,keystone_bio_agi_pct_earned,keystone_bio_agi_tier,keystone_bio_agi_pts_earned,keystone_bio_agi_pts_poss,keystone_lit_agi_score,keystone_lit_agi_floor,keystone_lit_agi_target,keystone_lit_agi_pct_earned,keystone_lit_agi_tier,keystone_lit_agi_pts_earned,keystone_lit_agi_pts_poss,access_growth_score,access_growth_floor,access_growth_target,access_growth_pct_earned,access_growth_tier,access_growth_pts_earned,access_growth_pts_poss,cred_on_track_stud_score,cred_on_track_stud_floor,cred_on_track_stud_target,cred_on_track_stud_pct_earned,cred_on_track_stud_tier,cred_on_track_stud_pts_earned,cred_on_track_stud_pts_poss,cred_off_track_stud_score,cred_off_track_stud_floor,cred_off_track_stud_target,cred_off_track_stud_pct_earned,cred_off_track_stud_tier,cred_off_track_stud_pts_earned,cred_off_track_stud_pts_poss,attend_score,attend_floor,attend_target,attend_pct_earned,attend_tier,attend_pts_earned,attend_pts_poss,retention_within_score,retention_within_floor,retention_within_target,retention_within_pct_earned,retention_within_tier,retention_within_pts_earned,retention_within_pts_poss,retention_across_score,retention_across_floor,retention_across_target,retention_across_pct_earned,retention_across_tier,retention_across_pts_earned,retention_across_pts_poss,iss_score,iss_floor,iss_target,iss_pct_earned,iss_tier,iss_pts_earned,iss_pts_poss,oss_score,oss_floor,oss_target,oss_pct_earned,oss_tier,oss_pts_earned,oss_pts_poss,grad_score,grad_floor,grad_target,grad_pct_earned,grad_tier,grad_pts_earned,grad_pts_poss,matric_score,matric_floor,matric_target,matric_pct_earned,matric_tier,matric_pts_earned,matric_pts_poss
1010,101,3847,HS,John Bartram High School,2401 S. 67th St.,Philadelphia,PA,19142,215.492.6450,215.492.6117,N/A,'9-12',No,Neighborhood,N/A,1,21,Intervene,31st of 53,(-75),4th of 19,(-11),6,Intervene,33rd of 53,(-92),4th of 19,(-6),1.59,27,26,Watch,25th of 53,(-71),2nd of 19,(-1),10.56,40,28,Watch,36th of 54,(-72),6th of 19,(-39),5.51,20,30,Watch,36th of 53,(-70),6th of 18,(-29),3,10,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,1.7,1.49,100,0,Intervene,0,6,4.76,4.64,100,0,Intervene,0,3,0.22,0,25,1,Intervene,0.01,0.6,1.49,1.1,100,0,Intervene,0,6,997,997,997,997,997,997,997,0,0,25,0,Intervene,0,0.6,10,8.14,100,2,Intervene,0.12,6,19.64,8.74,100,12,Intervene,0.36,3,0,0,25,0,Intervene,0,0.6,43.04,12.22,45.71,92,Model,1.1,1.2,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-2.58,-2,2.81,0,Intervene,0,8,-4.06,-2,2,0,Intervene,0,8,-8.97,-2,3.93,0,Intervene,0,8,35.21,12.12,38.98,86,Model,3.44,4,87.47,75.88,99.35,49,Watch,3.92,8,57.81,24.24,66.27,80,Model,3.2,4,13.5,9.58,62.03,7,Intervene,0.56,8,88.21,80.28,98.27,44,Watch,1.76,4,88.18,80.97,98.08,42,Watch,1.68,4,100,89.33,100,100,Model,1,1,77.26,72.86,99.45,17,Intervene,0.51,3,72.81,53.27,100,42,Watch,2.52,6,29.57,22.55,79.05,12,Intervene,0.48,4
1020,102,3860,HS,West Philadelphia High School,4901 Chestnut St.,Philadelphia,PA,19139,215.471.2902,215.471.6402,www.philasd.org/schools/westphila,'9-12',No,Neighborhood,Promise Academy,1,Less than 10,Intervene,49th of 53,(N/A),15th of 19,(N/A),Less than 10,Intervene,41st of 53,(N/A),9th of 19,(N/A),0.75,28.8,10,Intervene,45th of 53,(-87),13th of 19,(-17),3.68,36,Less than 10,Intervene,53rd of 54,(N/A),18th of 19,(N/A),0.57,20,19,Intervene,41st of 53,(-81),8th of 18,(-40),1.92,10,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,5.17,1.49,100,4,Intervene,0.24,6,8,4.64,100,4,Intervene,0.12,3,0,0,25,0,Intervene,0,0.6,1.52,1.1,100,0,Intervene,0,6,1.27,0,100,1,Intervene,0.03,3,0,0,25,0,Intervene,0,0.6,11.11,8.14,100,3,Intervene,0.18,6,14.13,8.74,100,6,Intervene,0.18,3,0,0,25,0,Intervene,0,0.6,997,997,997,997,997,997,997,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-1.75,-2,2.81,5,Intervene,0.4,8,-5.77,-2,2,0,Intervene,0,8,-2.95,-2,3.93,0,Intervene,0,8,997,997,997,997,997,997,997,79.65,75.88,99.35,16,Intervene,1.28,8,45.45,24.24,66.27,50,Reinforce,2,4,9.92,9.58,62.03,1,Intervene,0.08,8,80.45,80.28,98.27,1,Intervene,0.04,4,76.58,80.97,98.08,0,Intervene,0,4,94.09,89.33,100,45,Watch,0.45,1,68.46,72.86,99.45,0,Intervene,0,3,63.43,53.27,100,22,Intervene,1.32,6,31.29,22.55,79.05,15,Intervene,0.6,4
1030,103,7903,HS,High School of the Future,4021 Parkside Ave.,Philadelphia,PA,19104,215.823.5500,215.823.5504,www.philasd.org/schools/hsof,'9-12',No,Citywide,N/A,1,32,Watch,25th of 53,(-64),Peer Leader,,12,Intervene,25th of 53,(-86),Peer Leader,,3.51,28.8,20,Intervene,34th of 53,(-77),4th of 19,(-7),7.04,36,67,Reinforce,19th of 54,(-33),Peer Leader,,13.42,20,59,Reinforce,23rd of 53,(-41),Peer Leader,,5.9,10,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,13.75,1.49,100,12,Intervene,0.72,6,21.58,4.64,100,18,Intervene,0.54,3,1.37,0,25,5,Intervene,0.03,0.6,2.22,1.1,100,1,Intervene,0.06,6,1.49,0,100,1,Intervene,0.03,3,0,0,25,0,Intervene,0,0.6,33.7,8.14,100,28,Watch,1.68,6,22.86,8.74,100,15,Intervene,0.45,3,0,0,25,0,Intervene,0,0.6,997,997,997,997,997,997,997,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-2.95,-2,2.81,0,Intervene,0,8,-11.15,-2,2,0,Intervene,0,8,-2.14,-2,3.93,0,Intervene,0,8,997,997,997,997,997,997,997,92.62,75.88,99.35,71,Reinforce,5.68,8,38.71,24.24,66.27,34,Watch,1.36,4,42.55,9.58,62.03,63,Reinforce,5.04,8,91.48,80.28,98.27,62,Reinforce,2.48,4,96.49,80.97,98.08,91,Model,3.64,4,100,89.33,100,100,Model,1,1,83.92,72.86,99.45,42,Watch,1.26,3,79.82,53.27,100,57,Reinforce,3.42,6,57.47,22.55,79.05,62,Reinforce,2.48,4
1050,105,7780,HS,Paul Robeson High School for Human Services,4125 Ludlow St.,Philadelphia,PA,19104,215.823.8207,215.823.8252,www.philasd.org/schools/robeson,'9-12',No,Citywide,N/A,3,34,Watch,23rd of 53,(-62),8th of 12,(-27),9,Intervene,29th of 53,(-89),9th of 12,(-27),2.64,28.8,28,Watch,23rd of 53,(-69),9th of 12,(-45),8.88,32,58,Reinforce,23rd of 54,(-42),8th of 12,(-27),11.56,20,76,Model,17th of 53,(-24),5th of 12,(-13),7.56,10,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,1.61,1.49,100,0,Intervene,0,6,10.81,4.64,100,6,Intervene,0.18,3,0,0,25,0,Intervene,0,0.6,4.48,1.1,100,3,Intervene,0.18,6,3.33,0,100,3,Intervene,0.09,3,0,0,25,0,Intervene,0,0.6,35.48,8.14,100,30,Watch,1.8,6,20.83,8.74,100,13,Intervene,0.39,3,0,0,25,0,Intervene,0,0.6,997,997,997,997,997,997,997,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-3.99,-2,2.81,0,Intervene,0,8,-5.66,-2,2,0,Intervene,0,8,0.01,-2,3.93,34,Watch,2.72,8,997,997,997,997,997,997,997,93.96,75.88,99.35,77,Model,6.16,8,997,997,997,997,997,997,997,26.77,9.58,62.03,33,Watch,2.64,8,97.75,80.28,98.27,97,Model,3.88,4,88.42,80.97,98.08,44,Watch,1.76,4,100,89.33,100,100,Model,1,1,92.94,72.86,99.45,76,Model,2.28,3,93.24,53.27,100,86,Model,5.16,6,56.52,22.55,79.05,60,Reinforce,2.4,4
1060,106,7781,HS,Communications Technology High School (CLOSED),Closed,,,,Closed,Closed,Closed,'9-12',Yes,Citywide,N/A,3,34,Watch,23rd of 53,(-62),8th of 12,(-27),11,Intervene,27th of 53,(-87),8th of 12,(-25),3.15,28.8,49,Watch,14th of 53,(-48),5th of 12,(-24),15.52,32,32,Watch,32nd of 54,(-68),9th of 12,(-53),5.14,16,60,Reinforce,22nd of 53,(-40),8th of 12,(-29),6.02,10,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,21.21,1.49,100,20,Intervene,1.2,6,15.69,4.64,100,12,Intervene,0.36,3,1.19,0,25,5,Intervene,0.03,0.6,1.96,1.1,100,1,Intervene,0.06,6,3.39,0,100,3,Intervene,0.09,3,0,0,25,0,Intervene,0,0.6,28.3,8.14,100,22,Intervene,1.32,6,11.63,8.74,100,3,Intervene,0.09,3,0,0,25,0,Intervene,0,0.6,997,997,997,997,997,997,997,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,2.81,-2,2.81,100,Model,8,8,-5.18,-2,2,0,Intervene,0,8,-0.83,-2,3.93,20,Intervene,1.6,8,997,997,997,997,997,997,997,93.14,75.88,99.35,74,Reinforce,5.92,8,997,997,997,997,997,997,997,18.06,9.58,62.03,16,Intervene,1.28,8,90.24,80.28,98.27,55,Reinforce,2.2,4,996,996,996,996,996,996,996,100,89.33,100,100,Model,1,1,78.6,72.86,99.45,22,Intervene,0.66,3,88.51,53.27,100,75,Model,4.5,6,44.3,22.55,79.05,38,Watch,1.52,4
1080,108,6523,HS,University City High School (CLOSED),Closed,,,,Closed,Closed,Closed,'9-12',No,Neighborhood,Promise Academy,1,14,Intervene,39th of 53,(-82),7th of 19,(-18),3,Intervene,41st of 53,(-95),9th of 19,(-9),0.72,25.8,15,Intervene,36th of 53,(-82),6th of 19,(-12),5.52,36,23,Intervene,41st of 54,(-77),7th of 19,(-44),3.69,16,27,Watch,38th of 53,(-73),7th of 18,(-32),2.7,10,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,3.45,1.49,100,2,Intervene,0.12,6,3.7,4.64,100,0,Intervene,0,3,0,0,25,0,Intervene,0,0.6,0,1.1,100,0,Intervene,0,6,997,997,997,997,997,997,997,0,0,25,0,Intervene,0,0.6,16.87,8.14,100,10,Intervene,0.6,6,8.75,8.74,100,0,Intervene,0,3,0,0,25,0,Intervene,0,0.6,997,997,997,997,997,997,997,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-1.25,-2,2.81,16,Intervene,1.28,8,-4.21,-2,2,0,Intervene,0,8,-3.8,-2,3.93,0,Intervene,0,8,997,997,997,997,997,997,997,82.7,75.88,99.35,29,Watch,2.32,8,44.62,24.24,66.27,48,Watch,1.92,4,17.04,9.58,62.03,14,Intervene,1.12,8,83.9,80.28,98.27,20,Intervene,0.8,4,996,996,996,996,996,996,996,84.33,89.33,100,0,Intervene,0,1,88.42,72.86,99.45,59,Reinforce,1.77,3,70.68,53.27,100,37,Watch,2.22,6,29.31,22.55,79.05,12,Intervene,0.48,4
1100,110,7245,HS,William L. Sayre High School,5800 Walnut St.,Philadelphia,PA,19139,215.471.2904,215.471.3486,www.philasd.org/schools/sayre,'9-12',No,Neighborhood,N/A,1,Less than 10,Intervene,52nd of 53,(N/A),18th of 19,(N/A),Less than 10,Intervene,50th of 53,(N/A),16th of 19,(N/A),0.22,28.8,Less than 10,Intervene,51st of 53,(N/A),17th of 19,(N/A),1.8,36,Less than 10,Intervene,52nd of 54,(N/A),17th of 19,(N/A),1.08,20,Less than 10,Intervene,49th of 53,(N/A),14th of 18,(N/A),0,10,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,0,1.49,100,0,Intervene,0,6,1.55,4.64,100,0,Intervene,0,3,0.5,0,25,2,Intervene,0.01,0.6,1.69,1.1,100,1,Intervene,0.06,6,1.79,0,100,2,Intervene,0.06,3,0,0,25,0,Intervene,0,0.6,8.14,8.14,100,0,Intervene,0,6,11.86,8.74,100,3,Intervene,0.09,3,0,0,25,0,Intervene,0,0.6,997,997,997,997,997,997,997,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,-6.71,-2,2.81,0,Intervene,0,8,-3.71,-2,2,0,Intervene,0,8,-4.61,-2,3.93,0,Intervene,0,8,997,997,997,997,997,997,997,69.57,75.88,99.35,0,Intervene,0,8,43.1,24.24,66.27,45,Watch,1.8,4,9.98,9.58,62.03,1,Intervene,0.08,8,80,80.28,98.27,0,Intervene,0,4,80.97,80.97,98.08,0,Intervene,0,4,100,89.33,100,100,Model,1,1,66.61,72.86,99.45,0,Intervene,0,3,50.62,53.27,100,0,Intervene,0,6,21.05,22.55,79.05,0,Intervene,0,4
1110,111,7246,MS,Anna H. Shaw School (CLOSED),Closed,,,,Closed,Closed,Closed,'7-8',No,Neighborhood,N/A,1,Less than 10,Intervene,25th of 25,(N/A),18th of 18,(N/A),Less than 10,Intervene,20th of 25,(N/A),13th of 18,(N/A),2.18,28.5,Less than 10,Intervene,25th of 25,(N/A),18th of 18,(N/A),0,42.5,16,Intervene,23rd of 25,(-84),16th of 18,(-83),2.55,16,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,31.84,24.37,100,10,Intervene,0.75,7.5,6.15,6.15,71.82,0,Intervene,0,1.5,34.27,25.31,100,12,Intervene,0.9,7.5,6.74,6.45,60.92,1,Intervene,0.02,1.5,10.42,6.12,100,5,Intervene,0.19,3.75,1.04,0,25,4,Intervene,0.06,1.5,17.02,10.96,100,7,Intervene,0.26,3.75,0,0,25,0,Intervene,0,1.5,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,997,997,997,997,997,997,997,-2.44,-2,2.7,0,Intervene,0,17.5,-1.99,-1.7,6.39,0,Intervene,0,17.5,999,999,999,999,999,999,999,-6.09,-2,2,0,Intervene,0,3.75,996,996,996,996,996,996,996,-5.63,-2,2.45,0,Intervene,0,3.75,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,997,997,997,997,997,997,997,999,999,999,999,999,999,999,999,999,999,999,999,999,999,33.33,26.74,73.11,14,Intervene,1.12,8,89.59,85.11,99.18,32,Watch,1.28,4,996,996,996,996,996,996,996,69.3,74.02,100,0,Intervene,0,1,71.49,70,99.59,5,Intervene,0.15,3,999,999,999,999,999,999,999,999,999,999,999,999,999,999
1130,113,3832,MS,William T. Tilden School,6601 Elmwood Ave.,Philadelphia,PA,19142,215.492.6454,215.492.6128,N/A,'6-8',No,Neighborhood,N/A,1,24,Intervene,16th of 25,(-58),10th of 18,(-57),4,Intervene,22nd of 25,(-92),15th of 18,(-85),1.01,28.5,37,Watch,14th of 25,(-55),10th of 18,(-35),15.58,42.5,27,Watch,19th of 25,(-73),12th of 18,(-72),5.49,20,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,26.27,24.37,100,3,Intervene,0.23,7.5,10.44,6.15,71.82,7,Intervene,0.11,1.5,27.13,25.31,100,2,Intervene,0.15,7.5,10.41,6.45,60.92,7,Intervene,0.11,1.5,9.62,6.12,100,4,Intervene,0.15,3.75,0,0,25,0,Intervene,0,1.5,17.24,10.96,100,7,Intervene,0.26,3.75,0,0,25,0,Intervene,0,1.5,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,997,997,997,997,997,997,997,0.13,-2,2.7,45,Watch,7.88,17.5,1.85,-1.7,6.39,44,Watch,7.7,17.5,999,999,999,999,999,999,999,-6.58,-2,2,0,Intervene,0,3.75,996,996,996,996,996,996,996,-6.8,-2,2.45,0,Intervene,0,3.75,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,997,997,997,997,997,997,997,999,999,999,999,999,999,999,999,999,999,999,999,999,999,27.53,26.74,73.11,2,Intervene,0.16,8,87.92,85.11,99.18,20,Intervene,0.8,4,85.29,82.3,96.88,21,Intervene,0.84,4,99.76,74.02,100,99,Model,0.99,1,96.71,70,99.59,90,Model,2.7,3,999,999,999,999,999,999,999,999,999,999,999,999,999,999
1150,115,6821,MS,George Pepper School (CLOSED),Closed,,,,Closed,Closed,Closed,'5-8',No,Neighborhood,N/A,1,10,Intervene,24th of 25,(-72),17th of 18,(-71),4,Intervene,22nd of 25,(-92),15th of 18,(-85),1.28,30,7,Intervene,23rd of 25,(-85),17th of 18,(-65),3.6,50,30,Watch,17th of 25,(-70),10th of 18,(-69),4.73,16,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,19.02,24.37,100,0,Intervene,0,7.5,3.46,6.15,71.82,0,Intervene,0,1.5,25.43,25.31,100,0,Intervene,0,7.5,8.67,6.45,60.92,4,Intervene,0.06,1.5,2.83,6.12,100,0,Intervene,0,3.75,0.94,0,25,4,Intervene,0.06,1.5,29.08,10.96,100,20,Intervene,0.75,3.75,0,0,25,0,Intervene,0,1.5,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,16.28,5.88,44.19,27,Watch,0.41,1.5,-3.74,-2,2.7,0,Intervene,0,17.5,-0.22,-1.7,6.39,18,Intervene,3.15,17.5,999,999,999,999,999,999,999,-6.59,-2,2,0,Intervene,0,3.75,-1.51,-2,2,12,Intervene,0.45,3.75,-4.83,-2,2.45,0,Intervene,0,3.75,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,0,0,33.33,0,Intervene,0,3.75,999,999,999,999,999,999,999,999,999,999,999,999,999,999,42.07,26.74,73.11,33,Watch,2.64,8,89.22,85.11,99.18,29,Watch,1.16,4,996,996,996,996,996,996,996,90.27,74.02,100,63,Reinforce,0.63,1,72.94,70,99.59,10,Intervene,0.3,3,999,999,999,999,999,999,999,999,999,999,999,999,999,999
