"placekey","parent_placekey","location_name","brands","latitude","longitude","street_address","city","region","postal_code","iso_country_code","polygon_wkt","polygon_class","includes_parking_lot","is_synthetic","building_height","enclosed"
22x-222@628-pgb-h89,,Jw Hallahan Catholic Girls' High School,,39.959947,-75.169698,311 N 19th St,Philadelphia,PA,19103,US,"POLYGON ((-75.16935174199995 39.959854129000064, -75.16937017799995 39.95985687600006, -75.16939440799996 39.95976400300003, -75.17008881799995 39.95986745000005, -75.17003551399995 39.96007177100006, -75.16956232999996 39.960001281000075, -75.16955384899995 39.960033786000054, -75.16931418599995 39.95999808200003, -75.16935174199995 39.959854129000064))",OWNED_POLYGON,false,false,,false
23y-222@628-pm4-nh5,,Charles Santore Library,,39.937111,-75.155263,932 S 7th St,Philadelphia,PA,19147,US,"POLYGON ((-75.15513051599999 39.937158328000066, -75.15515096999997 39.93705963800005, -75.15519613099997 39.93689958500005, -75.15532524999998 39.936920402000055, -75.15541946399998 39.936945380000054, -75.15540311899997 39.93700554700007, -75.15540727999996 39.93700621800008, -75.15537094599995 39.93718763900006, -75.15536153299996 39.93722099800004, -75.15513051599999 39.937158328000066))",OWNED_POLYGON,false,false,,false
zzw-222@628-pj7-r8v,,The Bridge School,,40.016985,-75.094683,1100 Adams Ave,Philadelphia,PA,19124,US,"POLYGON ((-75.09436841799999 40.01674375400006, -75.09476113599999 40.016645493000055, -75.09501549299995 40.017225077000035, -75.09459897099998 40.017329295000025, -75.09444517499998 40.016978848000065, -75.09446897699996 40.01697289200007, -75.09436841799999 40.01674375400006))",OWNED_POLYGON,false,false,,false
223-223@628-p8v-789,223-222@628-p8v-789,Brightwood Career Institute Philadelphia Mills,,40.089473,-74.966719,177 Franklin Mills Blvd,Philadelphia,PA,19154,US,"POLYGON ((-74.96731422922119 40.08916394760721, -74.96729851063526 40.089526562866894, -74.96718604519072 40.08952165148054, -74.96707478035012 40.08942436454829, -74.96696351550952 40.089418904453964, -74.9669380813574 40.08943550333696, -74.96695556254946 40.08945107621733, -74.96688146652542 40.08950442812182, -74.96686830693744 40.08949545064085, -74.96684563388936 40.08951353385138, -74.96684978293143 40.08959728085589, -74.96694684537016 40.08969013346325, -74.96694885702692 40.08977426499816, -74.96649690480791 40.089761953072674, -74.96652110407496 40.08933431278698, -74.96653485039616 40.08932353978272, -74.96663471194552 40.08933222922116, -74.96665370665801 40.08931842259755, -74.96663325481427 40.08930175008635, -74.96671939016721 40.089238930926534, -74.96673715980194 40.089253038449314, -74.96675425888441 40.08924175243133, -74.96676184410927 40.08915194418245, -74.96731422922119 40.08916394760721))",OWNED_POLYGON,true,false,,false
zzw-223@628-pmf-yqf,,Advantage Testing of Philadelphia,,39.957405,-75.181581,2929 Arch St Ste 1720,Philadelphia,PA,19104,US,"POLYGON ((-75.18233071099996 39.95858952300006, -75.18236847499998 39.958354599000074, -75.18197676299997 39.95831864100006, -75.18196996599994 39.95836092700006, -75.18189535399995 39.95835407900006, -75.18190517299996 39.95829299800005, -75.18196113199997 39.958298134000074, -75.18196717399996 39.958260546000076, -75.18199204399997 39.95826283000008, -75.18202981 39.95802790600004, -75.18201115699998 39.95802619300008, -75.18203003999997 39.95790873100003, -75.18198029899997 39.95790416500006, -75.18199011699994 39.957843085000036, -75.18131239799999 39.95778087000008, -75.18131541999998 39.95776207500006, -75.18108536799997 39.957740956000066, -75.18109669899997 39.95767047900006, -75.18106560999996 39.957667625000056, -75.18109431399995 39.95748908200005, -75.18103835699998 39.957483946000025, -75.18103155799997 39.95752623100003, -75.18098181799996 39.95752166500006, -75.18106717299997 39.95699073700007, -75.18158944599998 39.957038684000054, -75.18157811599997 39.95710916100006, -75.18167137999995 39.95711772200008, -75.18166760299994 39.957141215000036, -75.18170490799997 39.957144639000035, -75.18168904599997 39.957243307000056, -75.18165795999994 39.95724045400004, -75.18164058599996 39.95734851900005, -75.18167789199998 39.95735194400004, -75.18165749799994 39.95747880300007, -75.18178859299996 39.95760526600003, -75.18182345799994 39.957584627000074, -75.18195402699996 39.95759661300008, -75.18196006899996 39.957559024000034, -75.18198493899996 39.95756130800004, -75.18199702399994 39.95748613200004, -75.18207785299995 39.957493552000074, -75.18208465099997 39.95745126600008, -75.18204734499994 39.95744784100003, -75.18205942999998 39.95737266500004, -75.18203455999998 39.95737038200008, -75.18205193099999 39.95726231700007, -75.18207058499996 39.957264029000044, -75.18209173199995 39.95713247200007, -75.18216634299995 39.95713932100006, -75.18217011899998 39.95711582800004, -75.18320223499995 39.95721056900004, -75.18318033299994 39.95734682500006, -75.18310572199994 39.95733997700006, -75.18308608599995 39.95746213800004, -75.18304878099997 39.95745871400004, -75.18303820699998 39.95752449300005, -75.18287033299998 39.95750908400004, -75.18286655699995 39.95753257500007, -75.18275463999998 39.95752230200003, -75.18275010799994 39.95755049400003, -75.18298637699996 39.957572181000046, -75.18298184599996 39.95760037200006, -75.18301293299999 39.95760322500007, -75.18298347899997 39.95778646600007, -75.18288585899995 39.957844255000055, -75.18287493399998 39.95783371700003, -75.18283309699996 39.95785848400004, -75.18281670899995 39.95784267600004, -75.18264238799998 39.95794587000006, -75.18265331299995 39.95795640800003, -75.18259752899996 39.957989431000044, -75.18261937799997 39.95801050800003, -75.18250781199998 39.95807655200008, -75.18252966199998 39.958097629000065, -75.18248085199997 39.95812652300003, -75.18252455099997 39.95816867600007, -75.18249665899998 39.95818518800007, -75.18255128299995 39.95823788000007, -75.18252560299999 39.95839762800006, -75.18258777999995 39.95840333600006, -75.18257116399997 39.95850670300007, -75.18255251199997 39.95850499000005, -75.18254269199997 39.958566071000064, -75.18249916899998 39.95856207600008, -75.18249237099997 39.958604362000074, -75.18233071099996 39.95858952300006))",SHARED_POLYGON,false,false,,false
zzw-223@628-pgb-5pv,zzw-222@628-pg9-ty9,Hussian College,,39.961997,-75.164644,1500 Spring Garden St Ste 101,Philadelphia,PA,19130,US,"POLYGON ((-75.16473916067177 39.96214805859206, -75.16448971523339 39.962117221137056, -75.16455274714524 39.961848934691986, -75.16479280485207 39.961876688510976, -75.16473916067177 39.96214805859206))",OWNED_POLYGON,false,false,,true
zzw-226@628-pmb-7h5,,Corzo Center for the Creative Economy,,39.949022,-75.163892,211 S Broad St,Philadelphia,PA,19107,US,"POLYGON ((-75.16344554099999 39.94909268500004, -75.16337212699995 39.94901716700008, -75.16355769799998 39.94891412700008, -75.16363817499996 39.94892342900005, -75.16364480299995 39.948890678000055, -75.16338479899997 39.948860627000045, -75.16339426699994 39.94881384000007, -75.16344379099996 39.948819565000065, -75.16344757899998 39.948800850000055, -75.16339186399995 39.94879441000006, -75.16339754399996 39.94876633900003, -75.16337278199995 39.94876347700006, -75.16339360999996 39.94866054800008, -75.16336884799995 39.94865768500006, -75.16337926199998 39.948606221000034, -75.16332354699995 39.94859978100004, -75.16341822399994 39.94813192000004, -75.16381441499993 39.948177713000064, -75.16373015599999 39.948594109000055, -75.16377348999998 39.94859911800006, -75.16384165399995 39.94826225800006, -75.16427499099996 39.948312343000055, -75.16417369299995 39.94881295500005, -75.16423559899994 39.94882011000004, -75.16415418199995 39.94922247100004, -75.16412322899998 39.94921889300008, -75.16411660099999 39.94925164400007, -75.16396183699999 39.94923375600007, -75.16395804899997 39.94925247000003, -75.163859 39.94924102200008, -75.16386468099995 39.94921295100005, -75.16347467399999 39.94916787300008, -75.16341699199995 39.94910853700003, -75.16344554099999 39.94909268500004), (-75.16378354199998 39.94864337200005, -75.16378638199996 39.94862933700006, -75.16371828499996 39.94862146500003, -75.16371165799995 39.94865421600008, -75.16368689599994 39.94865135400005, -75.16365470699998 39.94881042700007, -75.16381566099994 39.94882903000007, -75.16384216999995 39.94869802900007, -75.1638545499999 39.94869946000006, -75.16386401899996 39.94865267400007, -75.16378354199998 39.94864337200005))",SHARED_POLYGON,false,false,,false
23c-222@628-pp5-cwk,,The First Tee of Greater Philadelphia,,39.994335,-75.112381,1952 E Allegheny Ave,Philadelphia,PA,19134,US,"POLYGON ((-75.11250473599995 39.994370778000075, -75.11201531999995 39.994622063000065, -75.11200791899995 39.994613138000034, -75.11228582899997 39.99448169400006, -75.11221997999996 39.99440227000008, -75.11231011199999 39.99435963900004, -75.11221133899994 39.99424050500005, -75.11218880599995 39.99425116200007, -75.11211825499998 39.99416606500006, -75.11202812199997 39.994208696000044, -75.11200930899997 39.99418600300004, -75.11174642199995 39.99431034200006, -75.11162413399995 39.99416284000006, -75.11211674199996 39.99392984900004, -75.11250473599995 39.994370778000075))",OWNED_POLYGON,false,false,,false
zzw-222@628-pnx-4qf,,Stay Fly Muay Thai,,39.961984,-75.146873,515 Spring Garden St,Philadelphia,PA,19123,US,"POLYGON ((-75.14679722099999 39.96193539200004, -75.14723701599996 39.96198633700004, -75.14721990899994 39.96209242700007, -75.14677845199998 39.962051779000035, -75.14679722099999 39.96193539200004))",OWNED_POLYGON,false,false,,false
zzy-225@628-pmf-n5z,,Valerie N Adams & Associates,,39.954254,-75.167879,1659 John F Kennedy Blvd,Philadelphia,PA,19103,US,"POLYGON ((-75.16774881592569 39.954390580237536, -75.16778376270884 39.95410782899213, -75.1679223571915 39.95411764246776, -75.16788701679012 39.95440036567928, -75.16774881592569 39.954390580237536))",SHARED_POLYGON,false,false,,false
