SchoolYear,Sector,SubSector,SRCSchoolID,SchoolName,LearningNetwork,GradeLevel,StudentEnrollment,ELCount,ELPCT,NotELCount,NotELPCT,IEPCount,IEPPCT,NotIEPCount,NotIEPPCT,FemaleCount,FemalePCT,MaleCount,MalePCT,AmericanIndianCount,AmericanIndianPCT,AsianCount,AsianPCT,BlackAfricanAmericanCount,BlackAfricanAmericanPCT,HispanicCount,HispanicPCT,MultiRaceCount,MultiRacePCT,PacificIslanderCount,PacificIslanderPCT,WhiteCount,WhitePCT,CEPEconomicallyDisadvantagedRate
2019-2020,Charter,Phila Charters,W65,Green Woods Charter School,Charters,03,82,,,,,10,12.20,72,87.80,45,54.88,37,45.12,0,0.00,1,1.22,23,28.05,3,3.66,6,7.32,0,0.00,49,59.76,
2019-2020,Charter,Phila Charters,W65,Green Woods Charter School,Charters,04,81,,,,,12,14.81,69,85.19,46,56.79,35,43.21,0,0.00,0,0.00,19,23.46,4,4.94,9,11.11,0,0.00,49,60.49,
2019-2020,Charter,Phila Charters,W65,Green Woods Charter School,Charters,05,72,,,,,15,20.83,57,79.17,29,40.28,43,59.72,0,0.00,1,1.39,12,16.67,7,9.72,9,12.50,0,0.00,43,59.72,
2019-2020,Charter,Phila Charters,W65,Green Woods Charter School,Charters,06,72,,,,,14,19.44,58,80.56,29,40.28,43,59.72,0,0.00,1,1.39,19,26.39,3,4.17,7,9.72,0,0.00,42,58.33,
2019-2020,Charter,Phila Charters,W65,Green Woods Charter School,Charters,07,67,,,,,9,13.43,58,86.57,31,46.27,36,53.73,0,0.00,0,0.00,16,23.88,3,4.48,5,7.46,0,0.00,43,64.18,
2019-2020,Charter,Phila Charters,W65,Green Woods Charter School,Charters,08,59,,,,,10,16.95,49,83.05,30,50.85,29,49.15,1,1.69,0,0.00,11,18.64,1,1.69,3,5.08,0,0.00,43,72.88,
2019-2020,Charter,Phila Charters,W65,Green Woods Charter School,Charters,All Grades,683,,,,,97,14.20,586,85.80,337,49.34,346,50.66,1,0.15,5,0.73,128,18.74,27,3.95,64,9.37,0,0.00,458,67.06,
2019-2020,Charter,Phila Charters,W66,Maritime Academy Charter School (MACHS),Charters,01,42,,,,,7,16.67,35,83.33,17,40.48,25,59.52,0,0.00,1,2.38,9,21.43,12,28.57,2,4.76,0,0.00,18,42.86,
2019-2020,Charter,Phila Charters,W66,Maritime Academy Charter School (MACHS),Charters,02,43,,,,,2,4.65,41,95.35,21,48.84,22,51.16,0,0.00,2,4.65,6,13.95,14,32.56,2,4.65,0,0.00,19,44.19,
2019-2020,Charter,Phila Charters,W66,Maritime Academy Charter School (MACHS),Charters,03,52,,,,,10,19.23,42,80.77,29,55.77,23,44.23,0,0.00,5,9.62,9,17.31,11,21.15,7,13.46,0,0.00,20,38.46,
