SchoolYear,Sector,SubSector,SRCSchoolID,SchoolName,LearningNetwork,GradeLevel,StudentEnrollment,ELCount,ELPCT,NotELCount,NotELPCT,IEPCount,IEPPCT,NotIEPCount,NotIEPPCT,FemaleCount,FemalePCT,MaleCount,MalePCT,AmericanIndianCount,AmericanIndianPCT,AsianCount,AsianPCT,BlackAfricanAmericanCount,BlackAfricanAmericanPCT,HispanicCount,HispanicPCT,MultiRaceCount,MultiRacePCT,PacificIslanderCount,PacificIslanderPCT,WhiteCount,WhitePCT,CEPEconomicallyDisadvantagedRate
2019-2020,District,District,110,William L. Sayre High School,Network 13,11,98,0,0.00,98,100.00,38,38.78,60,61.22,46,46.94,52,53.06,0,0.00,1,1.02,92,93.88,1,1.02,4,4.08,0,0.00,0,0.00,
2019-2020,District,District,110,William L. Sayre High School,Network 13,12,93,2,2.15,91,97.85,46,49.46,47,50.54,37,39.78,56,60.22,1,1.08,1,1.08,88,94.62,3,3.23,0,0.00,0,0.00,0,0.00,
2019-2020,District,District,110,William L. Sayre High School,Network 13,All Grades,410,4,0.98,406,99.02,180,43.90,230,56.10,169,41.22,241,58.78,1,0.24,4,0.98,372,90.73,7,1.71,26,6.34,0,0.00,0,0.00,100.00
2019-2020,District,District,113,William T. Tilden School,Network 10,05,35,6,17.14,29,82.86,4,11.43,31,88.57,19,54.29,16,45.71,0,0.00,5,14.29,26,74.29,3,8.57,0,0.00,0,0.00,1,2.86,
2019-2020,District,District,113,William T. Tilden School,Network 10,06,107,20,18.69,87,81.31,25,23.36,82,76.64,43,40.19,64,59.81,1,0.93,7,6.54,85,79.44,12,11.21,2,1.87,0,0.00,0,0.00,
2019-2020,District,District,113,William T. Tilden School,Network 10,07,115,18,15.65,97,84.35,19,16.52,96,83.48,51,44.35,64,55.65,0,0.00,3,2.61,94,81.74,9,7.83,6,5.22,0,0.00,3,2.61,
2019-2020,District,District,113,William T. Tilden School,Network 10,08,125,24,19.20,101,80.80,30,24.00,95,76.00,48,38.40,77,61.60,0,0.00,11,8.80,95,76.00,14,11.20,3,2.40,0,0.00,2,1.60,
2019-2020,District,District,113,William T. Tilden School,Network 10,All Grades,382,68,17.80,314,82.20,78,20.42,304,79.58,161,42.15,221,57.85,1,0.26,26,6.81,300,78.53,38,9.95,11,2.88,0,0.00,6,1.57,100.00
2019-2020,District,District,119,Motivation High School,Network 1,09,117,7,5.98,110,94.02,9,7.69,108,92.31,69,58.97,48,41.03,0,0.00,1,0.85,112,95.73,1,0.85,3,2.56,0,0.00,0,0.00,
2019-2020,District,District,119,Motivation High School,Network 1,10,93,9,9.68,84,90.32,8,8.60,85,91.40,48,51.61,45,48.39,1,1.08,1,1.08,89,95.70,1,1.08,0,0.00,0,0.00,1,1.08,
2019-2020,District,District,119,Motivation High School,Network 1,11,72,6,8.33,66,91.67,10,13.89,62,86.11,37,51.39,35,48.61,0,0.00,5,6.94,63,87.50,0,0.00,4,5.56,0,0.00,0,0.00,
2019-2020,District,District,119,Motivation High School,Network 1,12,92,13,14.13,79,85.87,10,10.87,82,89.13,46,50.00,46,50.00,0,0.00,2,2.17,87,94.57,3,3.26,0,0.00,0,0.00,0,0.00,
2019-2020,District,District,119,Motivation High School,Network 1,All Grades,374,35,9.36,339,90.64,37,9.89,337,90.11,200,53.48,174,46.52,1,0.27,9,2.41,351,93.85,5,1.34,7,1.87,0,0.00,1,0.27,100.00
2019-2020,District,District,120,John Barry School,Acceleration,00,65,0,0.00,65,100.00,2,3.08,63,96.92,33,50.77,32,49.23,0,0.00,0,0.00,62,95.38,2,3.08,1,1.54,0,0.00,0,0.00,
2019-2020,District,District,120,John Barry School,Acceleration,01,81,0,0.00,81,100.00,12,14.81,69,85.19,34,41.98,47,58.02,0,0.00,0,0.00,79,97.53,1,1.23,1,1.23,0,0.00,0,0.00,
2019-2020,District,District,120,John Barry School,Acceleration,02,67,0,0.00,67,100.00,9,13.43,58,86.57,28,41.79,39,58.21,0,0.00,0,0.00,61,91.04,2,2.99,3,4.48,0,0.00,1,1.49,
2019-2020,District,District,120,John Barry School,Acceleration,03,80,1,1.25,79,98.75,17,21.25,63,78.75,39,48.75,41,51.25,0,0.00,1,1.25,77,96.25,1,1.25,1,1.25,0,0.00,0,0.00,
2019-2020,District,District,120,John Barry School,Acceleration,04,71,1,1.41,70,98.59,21,29.58,50,70.42,33,46.48,38,53.52,0,0.00,0,0.00,67,94.37,2,2.82,2,2.82,0,0.00,0,0.00,
2019-2020,District,District,120,John Barry School,Acceleration,05,68,0,0.00,68,100.00,13,19.12,55,80.88,35,51.47,33,48.53,0,0.00,0,0.00,66,97.06,0,0.00,2,2.94,0,0.00,0,0.00,
2019-2020,District,District,120,John Barry School,Acceleration,06,46,1,2.17,45,97.83,9,19.57,37,80.43,23,50.00,23,50.00,0,0.00,0,0.00,45,97.83,0,0.00,1,2.17,0,0.00,0,0.00,
2019-2020,District,District,120,John Barry School,Acceleration,07,52,0,0.00,52,100.00,8,15.38,44,84.62,24,46.15,28,53.85,0,0.00,0,0.00,49,94.23,1,1.92,1,1.92,0,0.00,1,1.92,
2019-2020,District,District,120,John Barry School,Acceleration,08,44,0,0.00,44,100.00,16,36.36,28,63.64,21,47.73,23,52.27,0,0.00,0,0.00,39,88.64,0,0.00,4,9.09,0,0.00,1,2.27,
2019-2020,District,District,120,John Barry School,Acceleration,All Grades,574,3,0.52,571,99.48,107,18.64,467,81.36,270,47.04,304,52.96,0,0.00,1,0.17,545,94.95,9,1.57,16,2.79,0,0.00,3,0.52,100.00
2019-2020,District,District,123,William C. Bryant School,Acceleration,00,48,0,0.00,48,100.00,0,0.00,48,100.00,16,33.33,32,66.67,0,0.00,0,0.00,45,93.75,0,0.00,2,4.17,0,0.00,1,2.08,
2019-2020,District,District,123,William C. Bryant School,Acceleration,01,57,0,0.00,57,100.00,2,3.51,55,96.49,26,45.61,31,54.39,0,0.00,1,1.75,56,98.25,0,0.00,0,0.00,0,0.00,0,0.00,
2019-2020,District,District,123,William C. Bryant School,Acceleration,02,69,0,0.00,69,100.00,5,7.25,64,92.75,32,46.38,37,53.62,0,0.00,0,0.00,68,98.55,1,1.45,0,0.00,0,0.00,0,0.00,
2019-2020,District,District,123,William C. Bryant School,Acceleration,03,50,0,0.00,50,100.00,5,10.00,45,90.00,22,44.00,28,56.00,0,0.00,0,0.00,47,94.00,0,0.00,2,4.00,0,0.00,1,2.00,
2019-2020,District,District,123,William C. Bryant School,Acceleration,04,52,0,0.00,52,100.00,8,15.38,44,84.62,26,50.00,26,50.00,0,0.00,0,0.00,48,92.31,0,0.00,2,3.85,0,0.00,2,3.85,
2019-2020,District,District,123,William C. Bryant School,Acceleration,05,37,0,0.00,37,100.00,5,13.51,32,86.49,21,56.76,16,43.24,2,5.41,0,0.00,33,89.19,1,2.70,0,0.00,0,0.00,1,2.70,
2019-2020,District,District,123,William C. Bryant School,Acceleration,06,45,0,0.00,45,100.00,6,13.33,39,86.67,20,44.44,25,55.56,0,0.00,0,0.00,41,91.11,1,2.22,1,2.22,0,0.00,2,4.44,
2019-2020,District,District,123,William C. Bryant School,Acceleration,07,38,1,2.63,37,97.37,7,18.42,31,81.58,25,65.79,13,34.21,1,2.63,0,0.00,34,89.47,2,5.26,1,2.63,0,0.00,0,0.00,
2019-2020,District,District,123,William C. Bryant School,Acceleration,08,28,0,0.00,28,100.00,8,28.57,20,71.43,18,64.29,10,35.71,0,0.00,0,0.00,26,92.86,1,3.57,0,0.00,0,0.00,1,3.57,
2019-2020,District,District,123,William C. Bryant School,Acceleration,All Grades,424,1,0.24,423,99.76,46,10.85,378,89.15,206,48.58,218,51.42,3,0.71,1,0.24,398,93.87,6,1.42,8,1.89,0,0.00,8,1.89,100.00
2019-2020,District,District,125,Joseph W. Catharine School,Network 12,00,76,14,18.42,62,81.58,9,11.84,67,88.16,33,43.42,43,56.58,0,0.00,12,15.79,49,64.47,9,11.84,3,3.95,0,0.00,3,3.95,
2019-2020,District,District,125,Joseph W. Catharine School,Network 12,01,77,12,15.58,65,84.42,14,18.18,63,81.82,39,50.65,38,49.35,0,0.00,5,6.49,59,76.62,10,12.99,3,3.90,0,0.00,0,0.00,
2019-2020,District,District,125,Joseph W. Catharine School,Network 12,02,74,14,18.92,60,81.08,8,10.81,66,89.19,33,44.59,41,55.41,0,0.00,7,9.46,53,71.62,10,13.51,3,4.05,0,0.00,1,1.35,
2019-2020,District,District,125,Joseph W. Catharine School,Network 12,03,79,12,15.19,67,84.81,15,18.99,64,81.01,37,46.84,42,53.16,0,0.00,3,3.80,62,78.48,11,13.92,2,2.53,0,0.00,1,1.27,
2019-2020,District,District,125,Joseph W. Catharine School,Network 12,04,85,16,18.82,69,81.18,21,24.71,64,75.29,37,43.53,48,56.47,1,1.18,7,8.24,60,70.59,9,10.59,7,8.24,0,0.00,1,1.18,
2019-2020,District,District,125,Joseph W. Catharine School,Network 12,05,65,21,32.31,44,67.69,10,15.38,55,84.62,31,47.69,34,52.31,0,0.00,8,12.31,42,64.62,12,18.46,3,4.62,0,0.00,0,0.00,
2019-2020,District,District,125,Joseph W. Catharine School,Network 12,All Grades,456,89,19.52,367,80.48,77,16.89,379,83.11,210,46.05,246,53.95,1,0.22,42,9.21,325,71.27,61,13.38,21,4.61,0,0.00,6,1.32,100.00
2019-2020,District,District,126,Benjamin B. Comegys School,Network 12,00,54,0,0.00,54,100.00,3,5.56,51,94.44,30,55.56,24,44.44,0,0.00,1,1.85,46,85.19,5,9.26,1,1.85,1,1.85,0,0.00,
2019-2020,District,District,126,Benjamin B. Comegys School,Network 12,01,53,1,1.89,52,98.11,3,5.66,50,94.34,24,45.28,29,54.72,0,0.00,0,0.00,48,90.57,4,7.55,1,1.89,0,0.00,0,0.00,
2019-2020,District,District,126,Benjamin B. Comegys School,Network 12,02,58,1,1.72,57,98.28,4,6.90,54,93.10,28,48.28,30,51.72,0,0.00,0,0.00,57,98.28,0,0.00,0,0.00,0,0.00,1,1.72,
2019-2020,District,District,126,Benjamin B. Comegys School,Network 12,03,67,0,0.00,67,100.00,11,16.42,56,83.58,32,47.76,35,52.24,0,0.00,0,0.00,62,92.54,2,2.99,2,2.99,0,0.00,1,1.49,
2019-2020,District,District,126,Benjamin B. Comegys School,Network 12,04,55,2,3.64,53,96.36,6,10.91,49,89.09,28,50.91,27,49.09,0,0.00,1,1.82,50,90.91,2,3.64,1,1.82,0,0.00,1,1.82,
2019-2020,District,District,126,Benjamin B. Comegys School,Network 12,05,44,0,0.00,44,100.00,6,13.64,38,86.36,28,63.64,16,36.36,0,0.00,0,0.00,42,95.45,1,2.27,1,2.27,0,0.00,0,0.00,
2019-2020,District,District,126,Benjamin B. Comegys School,Network 12,06,46,1,2.17,45,97.83,4,8.70,42,91.30,25,54.35,21,45.65,0,0.00,0,0.00,42,91.30,3,6.52,1,2.17,0,0.00,0,0.00,
2019-2020,District,District,126,Benjamin B. Comegys School,Network 12,07,41,1,2.44,40,97.56,10,24.39,31,75.61,18,43.90,23,56.10,0,0.00,0,0.00,37,90.24,3,7.32,1,2.44,0,0.00,0,0.00,
2019-2020,District,District,126,Benjamin B. Comegys School,Network 12,08,48,0,0.00,48,100.00,11,22.92,37,77.08,20,41.67,28,58.33,0,0.00,0,0.00,48,100.00,0,0.00,0,0.00,0,0.00,0,0.00,
2019-2020,District,District,126,Benjamin B. Comegys School,Network 12,All Grades,466,6,1.29,460,98.71,58,12.45,408,87.55,233,50.00,233,50.00,0,0.00,2,0.43,432,92.70,20,4.29,8,1.72,1,0.21,3,0.64,100.00
2019-2020,District,District,128,Sadie Alexander School,Network 2,00,80,10,12.50,70,87.50,3,3.75,77,96.25,42,52.50,38,47.50,0,0.00,33,41.25,5,6.25,3,3.75,6,7.50,1,1.25,32,40.00,
2019-2020,District,District,128,Sadie Alexander School,Network 2,01,74,4,5.41,70,94.59,5,6.76,69,93.24,41,55.41,33,44.59,0,0.00,13,17.57,12,16.22,1,1.35,10,13.51,0,0.00,38,51.35,
2019-2020,District,District,128,Sadie Alexander School,Network 2,02,74,6,8.11,68,91.89,4,5.41,70,94.59,38,51.35,36,48.65,0,0.00,27,36.49,14,18.92,1,1.35,3,4.05,1,1.35,28,37.84,
2019-2020,District,District,128,Sadie Alexander School,Network 2,03,70,11,15.71,59,84.29,5,7.14,65,92.86,30,42.86,40,57.14,0,0.00,16,22.86,10,14.29,4,5.71,9,12.86,0,0.00,31,44.29,
2019-2020,District,District,128,Sadie Alexander School,Network 2,04,68,7,10.29,61,89.71,9,13.24,59,86.76,31,45.59,37,54.41,0,0.00,8,11.76,17,25.00,4,5.88,9,13.24,0,0.00,30,44.12,
2019-2020,District,District,128,Sadie Alexander School,Network 2,05,60,5,8.33,55,91.67,7,11.67,53,88.33,30,50.00,30,50.00,0,0.00,12,20.00,13,21.67,4,6.67,9,15.00,1,1.67,21,35.00,
2019-2020,District,District,128,Sadie Alexander School,Network 2,06,52,3,5.77,49,94.23,2,3.85,50,96.15,25,48.08,27,51.92,0,0.00,9,17.31,11,21.15,2,3.85,8,15.38,0,0.00,22,42.31,
2019-2020,District,District,128,Sadie Alexander School,Network 2,07,48,1,2.08,47,97.92,5,10.42,43,89.58,29,60.42,19,39.58,0,0.00,3,6.25,13,27.08,4,8.33,6,12.50,0,0.00,22,45.83,
2019-2020,District,District,128,Sadie Alexander School,Network 2,08,45,6,13.33,39,86.67,5,11.11,40,88.89,19,42.22,26,57.78,0,0.00,4,8.89,11,24.44,4,8.89,4,8.89,0,0.00,22,48.89,
2019-2020,District,District,128,Sadie Alexander School,Network 2,All Grades,571,53,9.28,518,90.72,45,7.88,526,92.12,285,49.91,286,50.09,0,0.00,125,21.89,106,18.56,27,4.73,64,11.21,3,0.53,246,43.08,39.79
2019-2020,District,District,129,Andrew Hamilton School,Network 2,00,42,0,0.00,42,100.00,0,0.00,42,100.00,22,52.38,20,47.62,0,0.00,0,0.00,39,92.86,1,2.38,1,2.38,0,0.00,0,0.00,
2019-2020,District,District,129,Andrew Hamilton School,Network 2,01,45,0,0.00,45,100.00,3,6.67,42,93.33,20,44.44,25,55.56,1,2.22,0,0.00,41,91.11,2,4.44,1,2.22,0,0.00,0,0.00,
2019-2020,District,District,129,Andrew Hamilton School,Network 2,02,53,0,0.00,53,100.00,5,9.43,48,90.57,31,58.49,22,41.51,0,0.00,0,0.00,51,96.23,1,1.89,0,0.00,0,0.00,1,1.89,
2019-2020,District,District,129,Andrew Hamilton School,Network 2,03,58,0,0.00,58,100.00,4,6.90,54,93.10,21,36.21,37,63.79,0,0.00,0,0.00,55,94.83,2,3.45,1,1.72,0,0.00,0,0.00,
2019-2020,District,District,129,Andrew Hamilton School,Network 2,04,52,0,0.00,52,100.00,10,19.23,42,80.77,28,53.85,24,46.15,0,0.00,0,0.00,49,94.23,1,1.92,2,3.85,0,0.00,0,0.00,
2019-2020,District,District,129,Andrew Hamilton School,Network 2,05,64,0,0.00,64,100.00,13,20.31,51,79.69,31,48.44,33,51.56,0,0.00,0,0.00,58,90.63,2,3.13,4,6.25,0,0.00,0,0.00,
2019-2020,District,District,129,Andrew Hamilton School,Network 2,06,71,1,1.41,70,98.59,12,16.90,59,83.10,35,49.30,36,50.70,1,1.41,1,1.41,64,90.14,2,2.82,3,4.23,0,0.00,0,0.00,
2019-2020,District,District,129,Andrew Hamilton School,Network 2,07,64,1,1.56,63,98.44,23,35.94,41,64.06,30,46.88,34,53.13,0,0.00,1,1.56,57,89.06,1,1.56,4,6.25,0,0.00,1,1.56,
2019-2020,District,District,129,Andrew Hamilton School,Network 2,08,69,1,1.45,68,98.55,28,40.58,41,59.42,40,57.97,29,42.03,0,0.00,0,0.00,59,85.51,1,1.45,9,13.04,0,0.00,0,0.00,
2019-2020,District,District,129,Andrew Hamilton School,Network 2,All Grades,518,3,0.58,515,99.42,98,18.92,420,81.08,258,49.81,260,50.19,2,0.39,2,0.39,473,91.31,13,2.51,25,4.83,0,0.00,2,0.39,100.00
2019-2020,District,District,130,Avery D. Harrington School,Network 12,00,46,0,0.00,46,100.00,1,2.17,45,97.83,22,47.83,24,52.17,0,0.00,1,2.17,42,91.30,1,2.17,0,0.00,0,0.00,2,4.35,
2019-2020,District,District,130,Avery D. Harrington School,Network 12,01,53,0,0.00,53,100.00,0,0.00,53,100.00,26,49.06,27,50.94,0,0.00,1,1.89,51,96.23,0,0.00,0,0.00,0,0.00,1,1.89,
2019-2020,District,District,130,Avery D. Harrington School,Network 12,02,66,0,0.00,66,100.00,8,12.12,58,87.88,36,54.55,30,45.45,0,0.00,0,0.00,66,100.00,0,0.00,0,0.00,0,0.00,0,0.00,
2019-2020,District,District,130,Avery D. Harrington School,Network 12,03,57,0,0.00,57,100.00,12,21.05,45,78.95,26,45.61,31,54.39,0,0.00,0,0.00,52,91.23,3,5.26,2,3.51,0,0.00,0,0.00,
2019-2020,District,District,130,Avery D. Harrington School,Network 12,04,58,0,0.00,58,100.00,13,22.41,45,77.59,25,43.10,33,56.90,0,0.00,0,0.00,56,96.55,1,1.72,1,1.72,0,0.00,0,0.00,
2019-2020,District,District,130,Avery D. Harrington School,Network 12,05,54,0,0.00,54,100.00,14,25.93,40,74.07,26,48.15,28,51.85,0,0.00,0,0.00,50,92.59,1,1.85,3,5.56,0,0.00,0,0.00,
2019-2020,District,District,130,Avery D. Harrington School,Network 12,06,53,2,3.77,51,96.23,12,22.64,41,77.36,27,50.94,26,49.06,0,0.00,0,0.00,48,90.57,3,5.66,1,1.89,0,0.00,1,1.89,
2019-2020,District,District,130,Avery D. Harrington School,Network 12,07,46,1,2.17,45,97.83,17,36.96,29,63.04,24,52.17,22,47.83,0,0.00,0,0.00,42,91.30,2,4.35,1,2.17,0,0.00,1,2.17,
2019-2020,District,District,130,Avery D. Harrington School,Network 12,08,42,0,0.00,42,100.00,16,38.10,26,61.90,13,30.95,29,69.05,0,0.00,0,0.00,37,88.10,0,0.00,4,9.52,0,0.00,1,2.38,
2019-2020,District,District,130,Avery D. Harrington School,Network 12,All Grades,475,3,0.63,472,99.37,93,19.58,382,80.42,225,47.37,250,52.63,0,0.00,2,0.42,444,93.47,11,2.32,12,2.53,0,0.00,6,1.26,100.00
2019-2020,District,District,134,Henry C. Lea School,Network 2,00,65,4,6.15,61,93.85,2,3.08,63,96.92,31,47.69,34,52.31,0,0.00,11,16.92,39,60.00,1,1.54,7,10.77,0,0.00,7,10.77,
2019-2020,District,District,134,Henry C. Lea School,Network 2,01,72,8,11.11,64,88.89,7,9.72,65,90.28,32,44.44,40,55.56,0,0.00,10,13.89,41,56.94,1,1.39,4,5.56,0,0.00,16,22.22,
2019-2020,District,District,134,Henry C. Lea School,Network 2,02,72,12,16.67,60,83.33,10,13.89,62,86.11,36,50.00,36,50.00,0,0.00,4,5.56,43,59.72,7,9.72,1,1.39,0,0.00,16,22.22,
2019-2020,District,District,134,Henry C. Lea School,Network 2,03,45,4,8.89,41,91.11,11,24.44,34,75.56,20,44.44,25,55.56,0,0.00,5,11.11,32,71.11,1,2.22,3,6.67,0,0.00,4,8.89,
2019-2020,District,District,134,Henry C. Lea School,Network 2,04,73,10,13.70,63,86.30,12,16.44,61,83.56,24,32.88,49,67.12,0,0.00,9,12.33,52,71.23,4,5.48,4,5.48,0,0.00,4,5.48,
2019-2020,District,District,134,Henry C. Lea School,Network 2,05,42,7,16.67,35,83.33,8,19.05,34,80.95,18,42.86,24,57.14,0,0.00,3,7.14,31,73.81,1,2.38,4,9.52,0,0.00,3,7.14,
2019-2020,District,District,134,Henry C. Lea School,Network 2,06,57,9,15.79,48,84.21,8,14.04,49,85.96,24,42.11,33,57.89,2,3.51,6,10.53,48,84.21,0,0.00,0,0.00,0,0.00,1,1.75,
2019-2020,District,District,134,Henry C. Lea School,Network 2,07,63,11,17.46,52,82.54,15,23.81,48,76.19,20,31.75,43,68.25,1,1.59,8,12.70,46,73.02,3,4.76,5,7.94,0,0.00,0,0.00,
2019-2020,District,District,134,Henry C. Lea School,Network 2,08,47,8,17.02,39,82.98,7,14.89,40,85.11,24,51.06,23,48.94,0,0.00,5,10.64,36,76.60,4,8.51,2,4.26,0,0.00,0,0.00,
2019-2020,District,District,134,Henry C. Lea School,Network 2,All Grades,536,73,13.62,463,86.38,80,14.93,456,85.07,229,42.72,307,57.28,3,0.56,61,11.38,368,68.66,22,4.10,30,5.60,0,0.00,51,9.51,100.00
2019-2020,District,District,135,William C. Longstreth School,Network 10,00,42,0,0.00,42,100.00,1,2.38,41,97.62,11,26.19,31,73.81,0,0.00,0,0.00,40,95.24,1,2.38,0,0.00,0,0.00,1,2.38,
2019-2020,District,District,135,William C. Longstreth School,Network 10,01,47,0,0.00,47,100.00,5,10.64,42,89.36,27,57.45,20,42.55,0,0.00,0,0.00,40,85.11,2,4.26,5,10.64,0,0.00,0,0.00,
2019-2020,District,District,135,William C. Longstreth School,Network 10,02,35,0,0.00,35,100.00,3,8.57,32,91.43,15,42.86,20,57.14,0,0.00,0,0.00,34,97.14,1,2.86,0,0.00,0,0.00,0,0.00,
2019-2020,District,District,135,William C. Longstreth School,Network 10,03,32,2,6.25,30,93.75,5,15.63,27,84.38,16,50.00,16,50.00,0,0.00,0,0.00,31,96.88,0,0.00,1,3.13,0,0.00,0,0.00,
2019-2020,District,District,135,William C. Longstreth School,Network 10,04,33,1,3.03,32,96.97,3,9.09,30,90.91,14,42.42,19,57.58,0,0.00,0,0.00,30,90.91,1,3.03,2,6.06,0,0.00,0,0.00,
2019-2020,District,District,135,William C. Longstreth School,Network 10,05,29,0,0.00,29,100.00,4,13.79,25,86.21,17,58.62,12,41.38,0,0.00,0,0.00,29,100.00,0,0.00,0,0.00,0,0.00,0,0.00,
2019-2020,District,District,135,William C. Longstreth School,Network 10,06,32,0,0.00,32,100.00,4,12.50,28,87.50,15,46.88,17,53.13,0,0.00,0,0.00,29,90.63,1,3.13,2,6.25,0,0.00,0,0.00,
2019-2020,District,District,135,William C. Longstreth School,Network 10,07,40,2,5.00,38,95.00,11,27.50,29,72.50,18,45.00,22,55.00,0,0.00,0,0.00,38,95.00,0,0.00,2,5.00,0,0.00,0,0.00,
2019-2020,District,District,135,William C. Longstreth School,Network 10,08,46,2,4.35,44,95.65,13,28.26,33,71.74,16,34.78,30,65.22,0,0.00,0,0.00,43,93.48,0,0.00,3,6.52,0,0.00,0,0.00,
2019-2020,District,District,135,William C. Longstreth School,Network 10,All Grades,336,7,2.08,329,97.92,49,14.58,287,85.42,149,44.35,187,55.65,0,0.00,0,0.00,314,93.45,6,1.79,15,4.46,0,0.00,1,0.30,100.00
2019-2020,District,District,136,Morton McMichael School,Acceleration,00,34,0,0.00,34,100.00,0,0.00,34,100.00,13,38.24,21,61.76,0,0.00,0,0.00,31,91.18,2,5.88,0,0.00,0,0.00,1,2.94,
2019-2020,District,District,136,Morton McMichael School,Acceleration,01,36,0,0.00,36,100.00,5,13.89,31,86.11,17,47.22,19,52.78,0,0.00,0,0.00,34,94.44,1,2.78,1,2.78,0,0.00,0,0.00,
2019-2020,District,District,136,Morton McMichael School,Acceleration,02,30,0,0.00,30,100.00,5,16.67,25,83.33,11,36.67,19,63.33,0,0.00,0,0.00,29,96.67,0,0.00,0,0.00,0,0.00,1,3.33,
2019-2020,District,District,136,Morton McMichael School,Acceleration,03,42,0,0.00,42,100.00,9,21.43,33,78.57,21,50.00,21,50.00,0,0.00,0,0.00,40,95.24,1,2.38,1,2.38,0,0.00,0,0.00,
2019-2020,District,District,136,Morton McMichael School,Acceleration,04,45,0,0.00,45,100.00,13,28.89,32,71.11,27,60.00,18,40.00,0,0.00,0,0.00,43,95.56,0,0.00,2,4.44,0,0.00,0,0.00,
2019-2020,District,District,136,Morton McMichael School,Acceleration,05,39,0,0.00,39,100.00,9,23.08,30,76.92,18,46.15,21,53.85,0,0.00,0,0.00,36,92.31,1,2.56,0,0.00,1,2.56,1,2.56,
2019-2020,District,District,136,Morton McMichael School,Acceleration,06,44,0,0.00,44,100.00,13,29.55,31,70.45,24,54.55,20,45.45,0,0.00,0,0.00,42,95.45,0,0.00,2,4.55,0,0.00,0,0.00,
2019-2020,District,District,136,Morton McMichael School,Acceleration,07,31,0,0.00,31,100.00,14,45.16,17,54.84,19,61.29,12,38.71,1,3.23,0,0.00,26,83.87,0,0.00,4,12.90,0,0.00,0,0.00,
2019-2020,District,District,136,Morton McMichael School,Acceleration,08,44,0,0.00,44,100.00,26,59.09,18,40.91,19,43.18,25,56.82,0,0.00,0,0.00,38,86.36,1,2.27,5,11.36,0,0.00,0,0.00,
2019-2020,District,District,136,Morton McMichael School,Acceleration,All Grades,345,0,0.00,345,100.00,94,27.25,251,72.75,169,48.99,176,51.01,1,0.29,0,0.00,319,92.46,6,1.74,15,4.35,1,0.29,3,0.87,100.00
2019-2020,District,District,137,S. Weir Mitchell School,Acceleration,00,57,0,0.00,57,100.00,0,0.00,57,100.00,28,49.12,29,50.88,1,1.75,0,0.00,53,92.98,0,0.00,3,5.26,0,0.00,0,0.00,
2019-2020,District,District,137,S. Weir Mitchell School,Acceleration,01,53,0,0.00,53,100.00,7,13.21,46,86.79,28,52.83,25,47.17,1,1.89,0,0.00,50,94.34,0,0.00,2,3.77,0,0.00,0,0.00,
2019-2020,District,District,137,S. Weir Mitchell School,Acceleration,02,51,0,0.00,51,100.00,4,7.84,47,92.16,27,52.94,24,47.06,0,0.00,0,0.00,49,96.08,2,3.92,0,0.00,0,0.00,0,0.00,
2019-2020,District,District,137,S. Weir Mitchell School,Acceleration,03,45,0,0.00,45,100.00,4,8.89,41,91.11,25,55.56,20,44.44,0,0.00,0,0.00,43,95.56,1,2.22,1,2.22,0,0.00,0,0.00,
2019-2020,District,District,137,S. Weir Mitchell School,Acceleration,04,56,0,0.00,56,100.00,10,17.86,46,82.14,32,57.14,24,42.86,0,0.00,0,0.00,55,98.21,1,1.79,0,0.00,0,0.00,0,0.00,
2019-2020,District,District,137,S. Weir Mitchell School,Acceleration,05,59,0,0.00,59,100.00,12,20.34,47,79.66,26,44.07,33,55.93,0,0.00,0,0.00,55,93.22,1,1.69,2,3.39,0,0.00,1,1.69,
2019-2020,District,District,137,S. Weir Mitchell School,Acceleration,06,52,0,0.00,52,100.00,8,15.38,44,84.62,23,44.23,29,55.77,1,1.92,0,0.00,48,92.31,1,1.92,2,3.85,0,0.00,0,0.00,
2019-2020,District,District,137,S. Weir Mitchell School,Acceleration,07,57,1,1.75,56,98.25,8,14.04,49,85.96,32,56.14,25,43.86,1,1.75,0,0.00,52,91.23,0,0.00,2,3.51,0,0.00,2,3.51,
2019-2020,District,District,137,S. Weir Mitchell School,Acceleration,08,35,1,2.86,34,97.14,6,17.14,29,82.86,17,48.57,18,51.43,0,0.00,0,0.00,32,91.43,0,0.00,2,5.71,0,0.00,1,2.86,
2019-2020,District,District,137,S. Weir Mitchell School,Acceleration,All Grades,465,2,0.43,463,99.57,59,12.69,406,87.31,238,51.18,227,48.82,4,0.86,0,0.00,437,93.98,6,1.29,14,3.01,0,0.00,4,0.86,100.00
2019-2020,District,District,138,Thomas G. Morton School,Network 11,00,75,9,12.00,66,88.00,2,2.67,73,97.33,35,46.67,40,53.33,0,0.00,5,6.67,66,88.00,2,2.67,0,0.00,0,0.00,2,2.67,
2019-2020,District,District,138,Thomas G. Morton School,Network 11,01,86,5,5.81,81,94.19,8,9.30,78,90.70,42,48.84,44,51.16,0,0.00,2,2.33,78,90.70,3,3.49,0,0.00,0,0.00,3,3.49,
2019-2020,District,District,138,Thomas G. Morton School,Network 11,02,85,11,12.94,74,87.06,8,9.41,77,90.59,39,45.88,46,54.12,0,0.00,6,7.06,76,89.41,3,3.53,0,0.00,0,0.00,0,0.00,
